full_name,total_points,y_pred
david_raya_martin,10,5.483917971426484
kepa_arrizabalaga_revuelta,0,3.517801892353603
karl_hein,0,2.5347438528171633
tommy_setford,0,2.5347438528171633
emiliano_martinez_romero,0,4.907324665777503
marco_bizot,7,3.924266626241062
joe_gauci,0,2.9412085867046223
filip_marschall,0,2.9412085867046223
james_wright,0,2.9412085867046223
max_weiss,0,4.092968321049208
etienne_green,0,3.109910281512768
vaclav_hladky,0,3.109910281512768
martin_dubravka,2,3.109910281512768
norberto_murara_neto,0,3.7330894005606794
dorde_petrovic,2,3.7330894005606794
will_dennis,0,2.7500313610242397
callan_mckenna,0,2.7500313610242397
alex_paulsen,0,2.7500313610242397
caoimhin_kelleher,1,4.330797721367224
ellery_balcombe,0,3.3477396818307845
matthew_cox,0,3.3477396818307845
julian_eyestone,0,3.3477396818307845
hakon_rafn_valdimarsson,0,3.3477396818307845
jason_steele,0,4.4072686116393776
bart_verbruggen,2,4.4072686116393776
tom_mcgill,0,3.424210572102938
carl_rushworth,0,3.424210572102938
kjell_scherpen,0,3.424210572102938
robert_lynch_sanchez,8,4.734279922921168
filip_jorgensen,0,3.7512218833847264
mike_penders,0,2.7681638438482885
gabriel_slonina,0,2.7681638438482885
dean_henderson,6,4.7523460445065115
walter_benitez,0,2.7862299654336304
remi_matthews,0,2.7862299654336304
jordan_pickford,2,5.2684977407419975
mark_travers,0,3.3023816616691164
harry_tyrer,0,2.3193236221326767
tom_king,0,2.3193236221326767
bernd_leno,3,4.933471789030879
steven_benda,0,2.9673557099579995
benjamin_lecomte,0,2.9673557099579995
illan_meslier,0,4.092968321049208
alex_cairns,0,3.109910281512768
karl_darlow,0,3.109910281512768
lucas_estella_perri,6,4.092968321049208
alisson_becker,1,6.127942739037142
giorgi_mamardashvili,0,4.161826659964261
armin_pecsi,0,3.178768620427821
freddie_woodman,0,3.178768620427821
james_trafford,7,4.949633792366949
ederson_santana_de_moraes,0,5.932691831903389
stefan_ortega_moreno,0,4.949633792366949
marcus_bettinelli,0,2.9835177132940682
altay_bayindir,2,4.712073758643749
andre_onana,0,4.712073758643749
elyh_harrison,0,2.745957679570868
tom_heaton,0,2.745957679570868
dermot_mee,0,2.745957679570868
nick_pope,9,4.9757809156203265
mark_gillespie,0,3.0096648365474454
odysseas_vlachodimos,0,3.0096648365474454
aaron_ramsdale,0,4.9757809156203265
matz_sels,2,4.716147440097121
carlos_miguel_dos_santos_pereira,0,2.7500313610242397
matt_turner,0,2.7500313610242397
angus_gunn,0,2.7500313610242397
anthony_patterson,0,4.092968321049208
simon_moore,0,3.109910281512768
blondy_nna_noukeu,0,3.109910281512768
robin_roefs,8,4.092968321049208
guglielmo_vicario,9,5.575459715914853
brandon_austin,0,3.6093436368419702
antonin_kinsky,0,3.6093436368419702
alphonse_areola,0,4.079178886273345
wes_foderingham,0,3.0961208467369072
krisztian_hegyi,0,3.0961208467369072
mads_hermansen,1,4.079178886273345
sam_johnstone,0,4.523945426535585
jose_malheiro_de_sa,0,4.523945426535585
daniel_bentley,0,3.540887386999147
gabriel_dos_santos_magalhaes,6,6.109980387960127
william_saliba,9,6.109980387960127
riccardo_calafiori,13,5.2304088108804185
jurrien_timber,0,5.2304088108804185
jakub_kiwior,0,5.2304088108804185
myles_lewis_skelly,0,5.2304088108804185
benjamin_white,6,5.2304088108804185
oleksandr_zinchenko,0,4.35083723380071
brayden_clarke,0,2.591694079641294
maldini_kacurri,0,2.591694079641294
josh_nichols,0,2.591694079641294
cristhian_mosquera,0,5.2304088108804185
matty_cash,8,3.523718911065317
lucas_digne,6,3.523718911065317
ezri_konsa_ngoyo,3,3.523718911065317
ian_maatsen,0,3.523718911065317
tyrone_mings,6,3.523718911065317
pau_torres,0,3.523718911065317
andres_garcia,0,2.6441473339856087
alex_moreno_lopera,0,2.6441473339856087
lamare_bogarde,0,2.6441473339856087
lino_da_cruz_sousa,0,2.6441473339856087
yasin_ozcan,0,2.6441473339856087
connor_roberts,0,3.9837073342722222
kyle_walker,1,3.9837073342722222
hannes_delcroix,0,3.1041357571925148
