full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.3430272225037148,
aaron_hickey,DEF,Brentford,1.0,1.2256133170208812,
aaron_ramsdale,GK,Newcastle,0.0,0.2279943786626703,
aaron_ramsey,MID,Burnley,0.0,0.3675077150771613,
aaron_wan_bissaka,DEF,West Ham,0.75,1.3012705579737396,
abdallah_sima,MID,Brighton,0.0,0.3675077150771613,
abdoullah_ba,MID,Sunderland,0.0,0.3675077150771613,
abdukodir_khusanov,DEF,Man City,0.0,0.3976137964800863,
adam_aznou,DEF,Everton,0.0,0.30663617318613384,
adam_smith,DEF,Bournemouth,0.0,0.37941827182129584,
adam_webster,DEF,Brighton,0.0,0.36122274716250535,
adam_wharton,MID,Crystal Palace,2.5,3.022450620560098,
adama_traore_diarra,MID,Fulham,1.5,1.7552102724848662,
adrian_mazilu,MID,Brighton,0.0,0.3675077150771613,
adrien_truffert,DEF,Bournemouth,4.75,2.749785224434696,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.4800428618933984,
aji_alese,DEF,Sunderland,0.0,0.3976137964800863,
alan_browne,MID,Sunderland,0.0,0.3675077150771613,
albert_sambi_lokonga,MID,Arsenal,0.0,0.3675077150771613,
alejandro_garnacho_ferreyra,MID,Chelsea,2.25,2.222588526983075,
alex_cairns,GK,Leeds,0.0,0.21119980002071853,
alex_iwobi,MID,Fulham,2.25,3.0171154279330215,85076.0
alex_jimenez_sanchez,DEF,Bournemouth,2.0,1.9611143833379934,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.4522003704564578,
alex_murphy,DEF,Newcastle,0.0,0.3430272225037148,
alex_paulsen,GK,Bournemouth,0.0,0.24478895730462213,
alex_scott,MID,Bournemouth,2.5,2.2298164743900095,
alexander_isak,FWD,Liverpool,2.25,2.4032869769956173,88376.0
alexis_mac_allister,MID,Liverpool,1.75,2.142893902895476,
alfie_pond,DEF,Wolves,0.0,0.2702451238685528,
alisson_becker,GK,Liverpool,0.5,0.8210356461227483,
alphonse_areola,GK,West Ham,2.25,2.812072491576034,
altay_bayindir,GK,Man Utd,0.5,0.8024960375980013,
amad_diallo,MID,Man Utd,2.25,2.393570452048821,
amadou_onana,MID,Aston Villa,2.0,1.3544196173824394,
amara_nallo,DEF,Liverpool,0.0,0.23385407455097185,
amine_adli,MID,Bournemouth,0.75,1.2613406376673444,
andre_harriman_annous,MID,Arsenal,0.0,0.3675077150771613,
andre_onana,GK,Man Utd,0.0,0.253186246625598,
andre_trindade_da_costa_neto,MID,Wolves,3.5,2.4490549298615316,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.3675077150771613,
andres_garcia,DEF,Aston Villa,0.0,0.4522003704564578,
andrew_moran,MID,Brighton,0.0,0.3675077150771613,
andrew_robertson,DEF,Liverpool,0.5,0.7234015193729522,
andrey_nascimento_dos_santos,MID,Chelsea,0.5,1.0578468028941688,
andy_irving,MID,West Ham,1.25,1.2316528469397339,
angus_gunn,GK,Nott'm Forest,0.0,0.17761064273681493,
anthony_elanga,MID,Newcastle,1.5,1.8397964550750818,
anthony_gordon,MID,Newcastle,2.5,2.696411377289019,94654.0
anthony_patterson,GK,Sunderland,0.0,0.253186246625598,
antoine_semenyo,MID,Bournemouth,8.0,4.22188004019177,87737.0
anton_stach,MID,Leeds,1.5,1.9701080638028141,
antonee_robinson,DEF,Fulham,0.25,0.31110103916326126,
antoni_milambo,MID,Brentford,0.0,0.3675077150771613,
antonin_kinsky,GK,Spurs,0.0,0.23639166798364622,
antonito_cordero_campillo,MID,Newcastle,0.0,0.3675077150771613,
antony_dos_santos,MID,Man Utd,0.0,0.3675077150771613,
archie_gray,MID,Spurs,0.0,0.3675077150771613,
armando_broja,FWD,Burnley,0.5,0.8243337362763792,
armin_pecsi,GK,Liverpool,0.0,0.17761064273681493,
arnaud_kalimuendo,FWD,Nott'm Forest,0.5,0.528797599796846,
arthur_masuaku,DEF,Sunderland,0.0,1.0295661634737052,
asher_agbinone,MID,Crystal Palace,0.0,0.3675077150771613,
ashley_barnes,FWD,Burnley,0.25,0.5507815446730961,
ashley_phillips,DEF,Spurs,0.0,0.36122274716250535,
