full_name,gw,total_points,position,team,opponent_team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,opponent_team_name,ewma_team_goals,ewma_team_points,team_name_nw_opponent,team_nw_opponent,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,predicted_points,owner
aaron_anselmino,13,0,DEF,Chelsea,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.5,0.0,120.5,40.0,0.0,Arsenal,1.75,2.5,Leeds,Leeds,1.0,0.0,0.4158093211388768,
aaron_hickey,13,8,DEF,Brentford,3,1.075,0.0,0.0,7.0,0.25,1.075,0.0225,0.10500000000000001,0.08249999999999999,0.16750000000000007,0.5,0.0,1.7999999999999998,8.35,38.0,0.0,0.0,0.0,0.0,0.0,0.5,8.5,2.75,-776.75,796.0,1572.75,40.0,0.0,Burnley,1.75,1.5,Arsenal,Arsenal,2.25,2.0,1.4396947008306638,
aaron_ramsdale,13,2,GK,Newcastle,9,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.7025,0.75,0.0,0.42500000000000004,4.15,25.75,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,-1219.0,629.25,1848.25,48.0,0.0,Everton,2.0,1.5,Spurs,Spurs,1.0,0.25,0.9752428959524178,
aaron_ramsey,13,0,MID,Burnley,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14112.25,0.0,14112.25,44.0,0.0,Brentford,0.75,0.0,Crystal Palace,Crystal Palace,1.25,1.75,0.3675077150771613,
aaron_wan_bissaka,13,1,DEF,West Ham,12,3.175,0.25,0.0,6.5,0.0,7.525,0.0375,0.0375,0.0,1.7175,1.75,0.0,2.45,15.849999999999998,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.25,-20737.25,5411.0,26148.25,42.75,0.25,Liverpool,2.0,1.75,Man Utd,Man Utd,1.5,1.25,2.314117190695475,
abdallah_sima,13,0,MID,Brighton,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.5,0.0,24.5,54.0,0.0,Nott'm Forest,1.75,2.5,Aston Villa,Aston Villa,1.75,2.25,0.3675077150771613,
abdoullah_ba,13,0,MID,Sunderland,4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8938.0,13422.75,4484.75,43.0,0.0,Bournemouth,1.5,1.25,Liverpool,Liverpool,1.0,1.5,0.3675077150771613,
abdukodir_khusanov,13,0,DEF,Man City,11,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-435.75,505.75,941.5,54.0,0.0,Leeds,2.5,2.25,Fulham,Fulham,1.5,2.25,0.3976137964800863,
adam_aznou,13,0,DEF,Everton,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151.25,59.5,210.75,43.0,0.0,Newcastle,1.25,1.75,Bournemouth,Bournemouth,1.25,0.25,0.36122274716250535,
adam_smith,13,1,DEF,Bournemouth,17,0.25,0.0,0.0,1.25,0.0,0.7,0.0025,0.0025,0.0,0.3025,0.75,0.0,0.3,1.45,23.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.75,-17.75,415.75,433.5,44.0,0.0,Sunderland,1.25,0.25,Everton,Everton,1.25,1.75,0.7357161323105249,
