full_name,gw,total_points,position,team,opponent_team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,opponent_team_name,ewma_team_goals,ewma_team_points,team_name_nw_opponent,team_nw_opponent,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,predicted_points,owner
aaron_anselmino,12,0,DEF,Chelsea,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157.0,0.0,157.0,40.0,0.0,Burnley,1.75,2.25,Arsenal,Arsenal,2.25,2.5,0.3976137964800863,
aaron_hickey,12,1,DEF,Brentford,6,0.375,0.0,0.0,2.75,0.0,0.49999999999999994,0.0125,0.0425,0.03,0.13250000000000006,0.5,0.0,1.175,4.25,19.75,0.0,0.0,0.0,0.0,0.0,0.25,7.0,0.75,-1574.75,631.25,2206.0,40.0,0.0,Brighton,1.75,1.5,Burnley,Burnley,1.25,0.75,0.9191648685250091,
aaron_ramsdale,12,0,GK,Newcastle,13,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.455,0.5,0.0,0.225,2.2,3.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-1554.0,650.0,2204.0,48.0,0.0,Man City,1.5,1.5,Everton,Everton,1.0,1.75,0.2540671737799052,
aaron_ramsey,12,0,MID,Burnley,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17794.0,0.0,17794.0,44.0,0.0,Chelsea,1.25,0.75,Brentford,Brentford,1.75,1.5,0.3675077150771613,
aaron_wan_bissaka,12,2,DEF,West Ham,4,2.825,0.25,0.0,6.0,0.0,9.875,0.045,0.045,0.0,1.78,1.75,0.0,2.625,15.8,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.25,-25682.75,5676.0,31358.75,43.0,0.25,Bournemouth,2.25,1.75,Liverpool,Liverpool,1.0,0.75,2.2948514271372833,
abdallah_sima,12,0,MID,Brighton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.75,0.0,27.75,54.0,0.0,Brentford,1.75,1.75,Nott'm Forest,Nott'm Forest,2.0,1.75,0.3675077150771613,
abdoullah_ba,12,0,MID,Sunderland,10,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9392.75,12945.75,3553.0,43.25,0.0,Fulham,1.25,1.25,Bournemouth,Bournemouth,1.25,1.0,0.3675077150771613,
abdukodir_khusanov,12,0,DEF,Man City,15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-903.25,389.0,1292.25,54.0,0.0,Newcastle,1.75,1.5,Leeds,Leeds,1.0,0.75,0.3430272225037148,
adam_aznou,12,0,DEF,Everton,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.5,65.25,245.75,43.0,0.0,Man Utd,1.0,1.75,Newcastle,Newcastle,1.5,1.5,0.36122274716250535,
adam_smith,12,1,DEF,Bournemouth,19,0.05,0.0,0.0,1.5,0.0,0.075,0.0,0.0,0.0,0.0025,0.0,0.0,0.05,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,2.5,457.5,455.0,44.0,0.0,West Ham,1.25,1.0,Sunderland,Sunderland,1.25,1.25,0.4320556475351743,
adam_webster,12,0,DEF,Brighton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5,38.0,47.5,44.0,0.0,Brentford,1.75,1.75,Nott'm Forest,Nott'm Forest,2.0,1.75,0.36122274716250535,
adam_wharton,12,6,MID,Crystal Palace,20,1.6,0.25,0.0,11.75,0.5,12.099999999999998,0.057499999999999996,0.085,0.0275,0.795,0.25,0.0,2.55,12.4,61.25,0.0,0.0,0.0,0.0,0.0,0.75,1.0,2.75,-2642.0,2713.75,5355.75,50.0,0.0,Wolves,1.0,1.75,Man Utd,Man Utd,2.0,1.25,2.0772747958218774,
adama_traore_diarra,12,0,MID,Fulham,17,1.05,0.0,0.0,5.0,0.0,1.7000000000000002,0.010000000000000002,0.037500000000000006,0.027499999999999997,0.455,0.5,0.0,1.0,0.95,22.75,0.0,0.0,0.0,0.0,0.0,0.25,7.5,1.0,-340.25,704.75,1045.0,52.0,0.0,Sunderland,1.25,1.5,Spurs,Spurs,1.5,1.0,1.275616030501411,
adrian_mazilu,12,0,MID,Brighton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.75,0.0,115.75,45.0,0.0,Brentford,1.75,1.75,Nott'm Forest,Nott'm Forest,2.0,1.75,0.3675077150771613,
adrien_truffert,12,0,DEF,Bournemouth,19,3.825,0.0,0.5,13.0,0.25,25.549999999999997,0.10250000000000001,0.1325,0.030000000000000002,1.0174999999999998,1.75,0.0,5.199999999999999,21.5,83.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,9876.75,23051.0,13174.25,45.0,0.75,West Ham,1.25,1.0,Sunderland,Sunderland,1.25,1.25,2.796455957698046,93330.0
ahmed_abdullahi,12,0,FWD,Sunderland,10,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287.0,2586.25,2873.25,43.25,0.0,Fulham,1.25,1.25,Bournemouth,Bournemouth,1.25,1.0,0.46422293192585673,
airidas_golambeckis,12,0,DEF,West Ham,4,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,70.0,12.5,40.0,0.0,Bournemouth,2.25,1.75,Liverpool,Liverpool,1.0,0.75,0.36122274716250535,
aji_alese,12,0,DEF,Sunderland,10,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,26.0,27.5,40.0,0.0,Fulham,1.25,1.25,Bournemouth,Bournemouth,1.25,1.0,0.3248316978449243,
alan_browne,12,0,MID,Sunderland,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184.25,0.0,184.25,45.0,0.0,Fulham,1.25,1.25,Bournemouth,Bournemouth,1.25,1.0,0.3675077150771613,
albert_sambi_lokonga,12,0,MID,Arsenal,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-255.25,0.0,255.25,45.0,0.0,Spurs,2.25,2.5,Chelsea,Chelsea,1.75,2.25,0.3675077150771613,
alejandro_garnacho_ferreyra,12,0,MID,Chelsea,3,4.3,0.5,0.5,19.75,0.5,18.249999999999996,0.4,0.6024999999999999,0.2025,0.315,0.25,0.25,7.3,22.35,53.0,0.0,0.0,0.0,0.0,0.0,0.75,32.5,5.0,26249.75,31093.25,4843.5,64.0,0.0,Burnley,1.75,2.25,Arsenal,Arsenal,2.25,2.5,3.6136891251696803,93330.0
alex_cairns,12,0,GK,Leeds,2,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.0,148.25,504.25,40.0,0.0,Aston Villa,1.0,0.75,Man City,Man City,1.75,1.5,0.20280251069974262,
alex_iwobi,12,3,MID,Fulham,17,2.4000000000000004,0.0,0.0,13.5,0.5,24.324999999999996,0.1025,0.1575,0.05500000000000001,0.975,1.0,0.0,5.175000000000001,11.600000000000001,89.0,0.0,0.0,0.0,0.0,0.0,1.0,15.75,2.25,-4255.25,17331.25,21586.5,65.0,0.25,Sunderland,1.25,1.5,Spurs,Spurs,1.5,1.0,3.4766541976702343,
alex_jimenez_sanchez,12,1,DEF,Bournemouth,19,2.125,0.0,0.0,9.5,0.25,5.375,0.0225,0.03,0.0075,0.8049999999999999,1.25,0.0,1.5999999999999999,8.4,57.75,0.0,0.0,0.0,0.0,0.0,0.5,2.25,1.75,123.25,325.0,201.75,45.0,0.25,West Ham,1.25,1.0,Sunderland,Sunderland,1.25,1.25,1.74988143662016,
