full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.05118666447650172,
aaron_hickey,DEF,Brentford,1.1733209999999998,1.4743618481984502,
aaron_ramsdale,GK,Newcastle,0.0,0.1297221328411411,
aaron_ramsey,MID,Burnley,0.0,0.10756356955293933,
aaron_wan_bissaka,DEF,West Ham,0.41764899999999994,0.9102514427972401,
abdallah_sima,MID,Brighton,0.0,0.1949596555735223,
abdoullah_ba,MID,Sunderland,0.0,0.16893004617510293,
abdukodir_khusanov,DEF,Man City,1.1598789999999999,1.0271497660050553,
adam_aznou,DEF,Everton,0.0,0.2474104524824478,
adam_smith,DEF,Bournemouth,0.4922049999999998,0.6689315128496809,
adam_webster,DEF,Brighton,0.0,0.09917681265106221,
adam_wharton,MID,Crystal Palace,3.0848189999999995,3.070587074085579,
adama_traore_diarra,MID,Fulham,1.012579,1.4965437041226788,
adrian_mazilu,MID,Brighton,0.0,0.1949596555735223,
adrien_truffert,DEF,Bournemouth,4.465535999999998,3.410648393962547,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.1906700240827751,
aji_alese,DEF,Sunderland,0.0,0.043845266920760795,
alan_browne,MID,Sunderland,0.0,0.16893004617510293,
albert_sambi_lokonga,MID,Arsenal,0.0,0.218781471639827,
alejandro_garnacho_ferreyra,MID,Chelsea,0.7029,0.9716686246596613,
alex_cairns,GK,Leeds,0.0,0.06641719728467177,
alex_iwobi,MID,Fulham,3.899974999999999,3.295635377489652,
alex_jimenez_sanchez,DEF,Bournemouth,0.3,0.9926590906636608,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.23017167173765934,
alex_murphy,DEF,Newcastle,0.0,0.14787947287840003,
alex_paulsen,GK,Bournemouth,0.0,0.17064521407235822,
alex_scott,MID,Bournemouth,3.329329999999999,2.8416900803085543,
alexander_isak,FWD,Liverpool,2.067,2.4004756728920342,88376.0
alexis_mac_allister,MID,Liverpool,2.221234999999999,2.3358116063853647,
alfie_pond,DEF,Wolves,0.0,-0.03870632996286766,
alisson_becker,GK,Liverpool,2.0757099999999995,1.832678865715101,94654.0
alphonse_areola,GK,West Ham,1.3769999999999998,1.6278381413556295,
altay_bayindir,GK,Man Utd,1.3279699999999997,2.227111046781289,
amad_diallo,MID,Man Utd,1.9280199999999998,2.8242345368890387,
amadou_onana,MID,Aston Villa,0.9386659999999998,1.0667423190914245,
amara_nallo,DEF,Liverpool,0.0,0.14343479620112692,
amine_adli,MID,Bournemouth,0.7,1.291767361461082,
andre_harriman_annous,MID,Arsenal,0.0,0.218781471639827,
andre_onana,GK,Man Utd,0.0,0.16560244691283837,
andre_trindade_da_costa_neto,MID,Wolves,2.8649769999999997,2.596257003135846,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.24324525583588086,
andres_garcia,DEF,Aston Villa,0.0,0.23017167173765934,
andrew_moran,MID,Brighton,0.0,0.1949596555735223,
andrew_robertson,DEF,Liverpool,0.4029,1.0007521366225403,
andrey_nascimento_dos_santos,MID,Chelsea,0.6720699999999997,1.0167602129714024,
andy_irving,MID,West Ham,0.502579,0.5707361330043468,
angus_gunn,GK,Nott'm Forest,0.0,0.04407609524212164,
anthony_elanga,MID,Newcastle,1.8857189999999995,2.4327145618841097,85646.0
anthony_gordon,MID,Newcastle,1.7821049999999996,2.092122810850525,94654.0
anthony_patterson,GK,Sunderland,0.0,0.015319865420556855,
antoine_semenyo,MID,Bournemouth,11.154020999999998,5.593275879083829,87737.0
anton_stach,MID,Leeds,4.586023999999998,3.599152256517855,
antonee_robinson,DEF,Fulham,0.33245099999999994,0.4266808373868639,
antoni_milambo,MID,Brentford,0.11764899999999995,0.20339731045734769,
antonin_kinsky,GK,Spurs,0.0,0.17752311164725704,
antonito_cordero_campillo,MID,Newcastle,0.0,0.2290719331237323,
antony_dos_santos,MID,Man Utd,0.0,0.21498294077669639,
archie_gray,MID,Spurs,0.4999469999999998,0.6576653985476255,
armando_broja,FWD,Burnley,0.6129,0.6242900513392224,
armin_pecsi,GK,Liverpool,0.0,0.14072272144614473,
arnaud_kalimuendo,FWD,Nott'm Forest,0.7,1.0559843496366734,
arthur_masuaku,DEF,Sunderland,0.147,0.7345876622920646,
asher_agbinone,MID,Crystal Palace,0.0,0.25012536029986054,
ashley_barnes,FWD,Burnley,0.0,-0.016148351293134494,
ashley_phillips,DEF,Spurs,0.0,0.2149600817364925,
axel_tuanzebe,DEF,Burnley,0.3,0.5375158469184559,
ayden_heaven,DEF,Man Utd,0.05042099999999999,0.2022863057107488,
bafode_diakite,DEF,Bournemouth,2.9013899999999997,2.4647442033851865,94654.0
bart_verbruggen,GK,Brighton,1.5025789999999999,3.1875293820236443,
bashir_humphreys,DEF,Burnley,0.0,0.017365912993618837,
bastien_meupiyou_menadjou,DEF,Wolves,0.0,-0.03870632996286766,
ben_broggio,MID,Aston Villa,0.0,0.2832705714445448,
ben_davies,DEF,Spurs,0.0,0.2149600817364925,
ben_gannon_doak,MID,Bournemouth,1.41,1.0770865156445175,
ben_winterburn,MID,Bournemouth,0.11764899999999995,0.31113272367671335,
benjamin_arthur,DEF,Brentford,0.0,-0.01439953415952619,
benjamin_fredrick,DEF,Brentford,0.0,-0.01439953415952619,
benjamin_lecomte,GK,Fulham,0.0,0.13186289691119057,
benjamin_sesko,FWD,Man Utd,4.972899999999999,4.0880463952892905,
benjamin_white,DEF,Arsenal,0.7058939999999997,0.5069838542605615,
benoit_badiashile_mukinayi,DEF,Chelsea,0.09,0.363488020440208,
bernardo_mota_veiga_de_carvalho_e_silva,MID,Man City,1.8218279999999996,1.9554156537726792,
bernd_leno,GK,Fulham,2.428469999999999,3.0170218609604142,
bertrand_traore,MID,Sunderland,0.21,1.0132857758905025,
blondy_nna_noukeu,GK,Sunderland,0.0,0.015319865420556855,
borna_sosa,DEF,Crystal Palace,0.0,0.1943090804053012,
boubacar_kamara,MID,Aston Villa,2.877719,2.3388096609167235,
boubacar_traore,MID,Wolves,0.0,0.16513222915679826,
bradley_burrowes,MID,Aston Villa,0.07202999999999998,0.3469696060507367,
brajan_gruda,MID,Brighton,2.5812099999999996,2.7706774164683505,
brandon_austin,GK,Spurs,0.0,0.17752311164725704,
brayden_clarke,DEF,Arsenal,0.0,0.2331596611561374,
brenden_aaronson,MID,Leeds,3.3886,3.0965014723919584,
brennan_johnson,MID,Spurs,2.226910999999999,1.716862755273019,
brian_brobbey,FWD,Sunderland,0.853,1.3741249389284427,
bruno_borges_fernandes,MID,Man Utd,3.42224,3.5282759752199864,87737.0
bruno_guimaraes_rodriguez_moura,MID,Newcastle,5.697362999999999,3.11963126779919,
bryan_gil_salvatierra,MID,Spurs,0.0,0.25631816884447944,
bryan_mbeumo,MID,Man Utd,3.9232399999999994,4.374112143457126,93330.0
bukayo_saka,MID,Arsenal,3.622473,3.302016456947637,87737.0
caleb_kporha,DEF,Crystal Palace,0.0,0.1943090804053012,
callan_mckenna,GK,Bournemouth,0.0,0.17064521407235822,
callum_bates,MID,Everton,0.0,0.2796368505494299,
callum_hudson_odoi,MID,Nott'm Forest,1.643468,2.235644543251455,
callum_marshall,FWD,West Ham,0.3,0.48502525809472996,
callum_olusesi,MID,Spurs,0.0,0.25631816884447944,
callum_wilson,FWD,West Ham,0.9221799999999999,0.9059520023341601,
calvin_bassey,DEF,Fulham,2.1046209999999994,2.5388896197465582,
calvin_ramsay,DEF,Liverpool,0.0,0.14343479620112692,
caoimhin_kelleher,GK,Brentford,3.3745839999999996,3.0219556761831337,85646.0
carl_rushworth,GK,Brighton,0.0,0.08204314629969123,
carlos_alcaraz_duran,MID,Everton,0.6870999999999999,1.397975226292502,
carlos_baleba,MID,Brighton,1.042398,1.2193149036051434,
carlos_henrique_casimiro,MID,Man Utd,2.3393479999999998,1.9529493368100022,
carlos_miguel_dos_santos_pereira,GK,Nott'm Forest,0.0,0.04407609524212164,
chadi_riad_dnanou,DEF,Crystal Palace,0.0,0.1943090804053012,
charalampos_kostoulas,FWD,Brighton,0.0,0.17502224600885474,
charlie_crew,MID,Leeds,0.0,0.09152442396841047,
charlie_tasker,DEF,Brighton,0.0,0.09917681265106221,
cheick_doucoure,MID,Crystal Palace,0.0,0.25012536029986054,
chemsdine_talbi,MID,Sunderland,2.555525999999999,2.8071602518720153,
chido_obi,FWD,Man Utd,0.0,0.19399671310910677,
chris_mepham,DEF,Bournemouth,0.0,0.19044940375603764,
chris_richards,DEF,Crystal Palace,4.328375999999999,3.500944840465877,88376.0
chris_rigg,MID,Sunderland,0.577549,0.7840995316263665,
chris_wood,FWD,Nott'm Forest,3.1912389999999995,3.9855617506151595,85076.0
christantus_uche,FWD,Crystal Palace,0.6429999999999999,0.6980980328052844,
christian_norgaard,MID,Arsenal,0.0,0.218781471639827,
christopher_nkunku,MID,Chelsea,0.0,0.1305556103597249,
claudio_echeverri,MID,Man City,0.0,0.22325071740265967,
coby_ebere,MID,Everton,0.0,0.2796368505494299,
cody_gakpo,MID,Liverpool,4.456542999999999,4.35060500192039,85076.0
cole_palmer,MID,Chelsea,1.2202469999999996,1.053839799124522,94654.0
connor_roberts,DEF,Burnley,0.0,-0.012059406867421102,
conor_bradley,DEF,Liverpool,0.504,1.3135328632954437,
cristhian_mosquera,DEF,Arsenal,1.2717809999999998,1.1433639594559188,
cristian_romero,DEF,Spurs,3.4517009999999986,3.0852770781114023,85076.0
crysencio_summerville,MID,West Ham,1.72401,2.1079123769287422,
curtis_jones,MID,Liverpool,1.1636109999999997,1.3191490221831161,
daichi_kamada,MID,Crystal Palace,3.2848799999999994,3.086265292661217,
dan_burn,DEF,Newcastle,6.832262999999998,3.4670825955751328,85646.0
dan_ndoye,MID,Nott'm Forest,2.7936179999999995,2.6979362299774596,
dan_neil,MID,Sunderland,0.147,0.28301248753227287,
dane_scarlett,FWD,Spurs,0.0,0.27690794160968585,
dango_ouattara,MID,Brentford,1.4694329999999998,1.829316402974782,
daniel_adu_adjei,FWD,Bournemouth,0.0,0.21674789354691726,
daniel_ballard,DEF,Sunderland,3.307453999999999,2.1121482993459457,
daniel_bentley,GK,Wolves,0.0,-0.046088354911967305,
