full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.3248316978449243,
aaron_hickey,DEF,Brentford,2.5,0.9302061006823809,
aaron_ramsdale,GK,Newcastle,1.25,2.419532135318529,
aaron_ramsey,MID,Burnley,0.0,0.3675077150771613,
aaron_wan_bissaka,DEF,West Ham,2.5,2.6657746214744495,
abdallah_sima,MID,Brighton,0.0,0.3675077150771613,
abdoullah_ba,MID,Sunderland,0.0,0.3675077150771613,
abdukodir_khusanov,DEF,Man City,0.0,0.3976137964800863,
adam_aznou,DEF,Everton,0.0,0.3976137964800863,
adam_smith,DEF,Bournemouth,2.0,1.282708288524423,
adam_webster,DEF,Brighton,0.0,0.36122274716250535,
adam_wharton,MID,Crystal Palace,5.5,3.059317844224826,
adama_traore_diarra,MID,Fulham,0.25,0.415168629528492,
adrian_mazilu,MID,Brighton,0.0,0.3675077150771613,
adrien_truffert,DEF,Bournemouth,2.75,3.081578223679996,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.45388571377317155,
airidas_golambeckis,DEF,West Ham,0.0,0.2884406485273433,
aji_alese,DEF,Sunderland,0.0,0.30663617318613384,
alan_browne,MID,Sunderland,0.0,0.3675077150771613,
albert_sambi_lokonga,MID,Arsenal,0.0,0.3675077150771613,
alejandro_garnacho_ferreyra,MID,Chelsea,1.25,1.6654314708827498,
alex_cairns,GK,Leeds,0.0,0.21119980002071853,
alex_iwobi,MID,Fulham,3.5,3.1320522203177075,
alex_jimenez_sanchez,DEF,Bournemouth,2.75,1.659273471075242,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.4522003704564578,
alex_murphy,DEF,Newcastle,0.0,0.4158093211388768,
alex_paulsen,GK,Bournemouth,0.0,0.19440522137876673,
alex_scott,MID,Bournemouth,2.5,2.452141604184612,
alexander_isak,FWD,Liverpool,3.0,2.7865602416999518,88376.0
alexis_mac_allister,MID,Liverpool,2.0,2.496135986297757,
alfie_pond,DEF,Wolves,0.0,0.23385407455097185,
alisson_becker,GK,Liverpool,3.0,3.100246369721922,87737.0
alphonse_areola,GK,West Ham,4.25,2.8162429758477487,
altay_bayindir,GK,Man Utd,0.0,0.23639166798364622,
amad_diallo,MID,Man Utd,3.0,4.2590320240861494,
amadou_onana,MID,Aston Villa,3.5,1.9118703653034061,
amara_nallo,DEF,Liverpool,0.0,0.3248316978449243,
amine_adli,MID,Bournemouth,2.5,2.1218223573297665,
andre_harriman_annous,MID,Arsenal,0.0,0.3675077150771613,
andre_onana,GK,Man Utd,0.0,0.23639166798364622,
andre_trindade_da_costa_neto,MID,Wolves,2.75,2.875740480539592,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.3675077150771613,
andres_garcia,DEF,Aston Villa,0.0,0.4522003704564578,
andrew_moran,MID,Brighton,0.0,0.3675077150771613,
andrew_robertson,DEF,Liverpool,1.0,1.1370547842652172,
andrey_nascimento_dos_santos,MID,Chelsea,1.75,1.4110188253515206,
andy_irving,MID,West Ham,0.25,0.5146109982421507,
