full_name,gw,total_points,position,team,opponent_team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,opponent_team_name,ewma_team_goals,ewma_team_points,team_name_nw_opponent,team_nw_opponent,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,predicted_points,owner
aaron_anselmino,18,0,DEF,Chelsea,2,0.0,-0.283046642245832,-0.32012389524407114,-0.6432389618745369,-0.49766094101101693,-0.5220616418950306,0.0,0.0,0.0,0.0,-0.6798004703494911,-0.2633969611460358,-0.6265454716829577,-0.6312984832364722,-0.7567403923819924,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.6643256075801893,-67.75,0.0,67.75,40.0,0.0,Aston Villa,-0.16249895443730358,-0.1324882452291283,Bournemouth,Bournemouth,0.1637690358924054,-0.735208497155511,0.665966112816762,
aaron_hickey,18,1,DEF,Brentford,4,2.825,-0.283046642245832,-0.32012389524407114,0.3582015803899557,1.0089297983778038,-0.4462549070879698,0.0025,0.002500000000000007,0.0,0.32500000000000007,-0.6798004703494911,-0.2633969611460358,-0.5421609338507818,-0.49438535527485883,-0.109541476183306,0.0,0.0,0.0,0.0,0.0,0.25,-0.46462589412960725,0.4616499984879282,5355.5,8042.5,2687.0,40.0,0.0,Bournemouth,0.5612751242345942,0.4509116982514084,Spurs,Spurs,-0.5635719544606848,0.12897742594184125,1.378531457006194,
aaron_ramsdale,18,3,GK,Newcastle,14,1.45,-0.283046642245832,-0.32012389524407114,0.8071232027843834,-0.49766094101101693,-0.17748557459020878,0.0,0.0,0.0,1.1,1.4954487638406644,-0.2633969611460358,0.43428871820725384,1.4935932627277662,1.9213240884401581,0.0,0.0,0.0,0.0,2.0,1.0,-0.46462589412960725,0.4616499984879282,7730.25,16083.5,8353.25,48.0,0.0,Man Utd,-0.5243859937732526,-0.4241882169693967,Burnley,Burnley,-0.5635719544606848,-1.023270471521295,3.1800433452866548,
aaron_ramsey,18,0,MID,Burnley,9,0.0,-0.283046642245832,-0.32012389524407114,-0.6432389618745369,-0.49766094101101693,-0.5220616418950306,0.0,0.0,0.0,0.0,-0.6798004703494911,-0.2633969611460358,-0.6265454716829577,-0.6312984832364722,-0.7567403923819924,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.6643256075801893,-7930.0,0.0,7930.0,44.0,0.0,Everton,-0.5243859937732526,-1.0075881604499335,Newcastle,Newcastle,-0.5635719544606848,-0.44714652278972683,0.732766072880954,
aaron_wan_bissaka,18,0,DEF,West Ham,10,1.175,-0.283046642245832,-0.32012389524407114,-0.3669795019395044,-0.49766094101101693,1.1732526092446927,0.02,0.02,0.0,0.6350000000000001,1.0603989170026333,-0.2633969611460358,0.4101788502552037,0.3216168873763563,0.582291848029083,0.0,0.0,0.0,0.0,0.0,0.5,-0.3975021979882249,0.03940914621238415,-33044.75,4875.5,37920.25,42.0,0.0,Fulham,-0.8862730331092015,-1.2992881321902017,Brighton,Brighton,-1.2909129448137748,-1.023270471521295,1.7128154939087201,
abdallah_sima,18,0,MID,Brighton,1,0.0,-0.283046642245832,-0.32012389524407114,-0.6432389618745369,-0.49766094101101693,-0.5220616418950306,0.0,0.0,0.0,0.0,-0.6798004703494911,-0.2633969611460358,-0.6265454716829577,-0.6312984832364722,-0.7567403923819924,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.6643256075801893,-11.0,0.0,11.0,54.0,0.0,Arsenal,-1.2481600724451505,-1.0075881604499335,West Ham,West Ham,-0.9272424496372298,-1.311332445887079,0.732766072880954,
abdoullah_ba,18,0,MID,Sunderland,11,-0.125,-0.283046642245832,-0.32012389524407114,-0.6432389618745369,-0.49766094101101693,-0.5220616418950306,0.0,0.0,0.0,0.0,-0.6798004703494911,-0.2633969611460358,-0.6265454716829577,-0.6312984832364722,-0.7567403923819924,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.6643256075801893,-2879.5,1787.25,4666.75,43.0,0.0,Leeds,-1.2481600724451505,-0.1324882452291283,Man City,Man City,1.9821215117751307,1.8573492721365457,0.732766072880954,
abdukodir_khusanov,18,0,DEF,Man City,16,0.6,-0.283046642245832,-0.32012389524407114,-0.2633822044638673,-0.49766094101101693,-0.4014600183383429,0.0025,0.0025,0.0,0.045,-0.6798004703494911,-0.2633969611460358,-0.5301059998747567,-0.5217679808671816,-0.5856418283294661,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.5235786568216746,-280.0,473.0,753.0,54.0,0.0,Nott'm Forest,2.00882328157839,1.90941155695275,Sunderland,Sunderland,-1.2909129448137748,-0.1590845484239428,0.9970669316351058,
adam_aznou,18,0,DEF,Everton,3,-0.25,-0.283046642245832,-0.32012389524407114,-0.6432389618745369,-0.49766094101101693,-0.5220616418950306,0.0,0.0,0.0,0.0,-0.6798004703494911,-0.2633969611460358,-0.6265454716829577,-0.6312984832364722,-0.7567403923819924,0.0,0.0,0.0,0.0,0.0,0.0,-0.46462589412960725,-0.6643256075801893,-80.5,93.75,174.25,42.5,0.0,Burnley,-0.8862730331092015,-0.4241882169693967,Nott'm Forest,Nott'm Forest,-0.5635719544606848,-0.735208497155511,0.6411530213531555,
adam_smith,18,0,DEF,Bournemouth,5,1.7750000000000001,2.0260180708122713,-0.32012389524407114,-0.1597849069882301,1.0089297983778038,-0.1257991644944855,0.0025,0.0025,0.0,1.435,1.9304986106786954,-0.2633969611460358,0.024420963022399357,0.26137511107324657,0.9170499081318518,0.0,0.0,0.0,0.0,0.0,0.75,-0.1290074134226955,0.4616499984879282,604.25,1302.5,698.25,44.0,0.25,Brentford,0.19938808489864535,-0.7158881887096651,Chelsea,Chelsea,-0.19990145928413966,-0.1590845484239428,1.8352377922778318,
