full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.3248316978449243,
aaron_hickey,DEF,Brentford,3.75,1.3873311287413086,
aaron_ramsdale,GK,Newcastle,1.75,3.1336460122912686,
aaron_ramsey,MID,Burnley,0.0,0.3675077150771613,
aaron_wan_bissaka,DEF,West Ham,2.25,2.535968611305311,
abdallah_sima,MID,Brighton,0.0,0.3675077150771613,
abdoullah_ba,MID,Sunderland,0.0,0.3675077150771613,
abdukodir_khusanov,DEF,Man City,0.0,0.4522003704564578,
adam_aznou,DEF,Everton,0.0,0.3430272225037148,
adam_smith,DEF,Bournemouth,2.25,1.6531631083977083,
adam_webster,DEF,Brighton,0.0,0.30663617318613384,
adam_wharton,MID,Crystal Palace,5.0,3.022651013133203,
adama_traore_diarra,MID,Fulham,0.5,0.45218059598867594,
adrian_mazilu,MID,Brighton,0.0,0.3675077150771613,
adrien_truffert,DEF,Bournemouth,2.75,2.587584831175321,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.47213289690962756,
airidas_golambeckis,DEF,West Ham,0.0,0.2702451238685528,
aji_alese,DEF,Sunderland,0.0,0.36122274716250535,
alan_browne,MID,Sunderland,0.0,0.3675077150771613,
albert_sambi_lokonga,MID,Arsenal,0.0,0.3675077150771613,
alejandro_garnacho_ferreyra,MID,Chelsea,2.0,2.3095352265669984,
alex_cairns,GK,Leeds,0.0,0.21959708934169442,
alex_iwobi,MID,Fulham,3.25,2.8444923481816167,
alex_jimenez_sanchez,DEF,Bournemouth,3.25,1.9405311395690918,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.4522003704564578,
alex_murphy,DEF,Newcastle,0.0,0.36122274716250535,
alex_paulsen,GK,Bournemouth,0.0,0.19440522137876673,
alex_scott,MID,Bournemouth,2.75,2.4604549195138046,
alexander_isak,FWD,Liverpool,2.75,2.350615496858262,88376.0
alexis_mac_allister,MID,Liverpool,2.25,2.1554496239446004,
alfie_pond,DEF,Wolves,0.0,0.23385407455097185,
alisson_becker,GK,Liverpool,4.25,3.4065201911083864,87737.0
alphonse_areola,GK,West Ham,2.25,2.878368920900665,
altay_bayindir,GK,Man Utd,0.0,0.24478895730462213,
amad_diallo,MID,Man Utd,4.25,4.380939728019106,
amadou_onana,MID,Aston Villa,4.0,2.3160874070836712,
amara_nallo,DEF,Liverpool,0.0,0.37941827182129584,
amine_adli,MID,Bournemouth,2.25,1.6225049376082632,
andre_harriman_annous,MID,Arsenal,0.0,0.3675077150771613,
andre_onana,GK,Man Utd,0.0,0.24478895730462213,
andre_trindade_da_costa_neto,MID,Wolves,2.75,2.876230747066532,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.3675077150771613,
andres_garcia,DEF,Aston Villa,0.0,0.4522003704564578,
andrew_moran,MID,Brighton,0.0,0.3675077150771613,
andrew_robertson,DEF,Liverpool,1.0,1.075682317741117,
andrey_nascimento_dos_santos,MID,Chelsea,0.75,1.0388677820449619,
andy_irving,MID,West Ham,0.25,0.5146109982421507,
angus_gunn,GK,Nott'm Forest,0.0,0.2279943786626703,
anthony_elanga,MID,Newcastle,2.25,2.1284036166527374,
anthony_gordon,MID,Newcastle,4.5,2.180099500253439,94654.0
anthony_patterson,GK,Sunderland,0.0,0.23639166798364622,
antoine_semenyo,MID,Bournemouth,3.5,4.57388346062657,87737.0
anton_stach,MID,Leeds,5.0,3.314495438628653,
antonee_robinson,DEF,Fulham,0.75,0.8907767296706585,
antoni_milambo,MID,Brentford,0.0,0.3675077150771613,
antonin_kinsky,GK,Spurs,0.0,0.21119980002071853,
antonito_cordero_campillo,MID,Newcastle,0.0,0.3675077150771613,
antony_dos_santos,MID,Man Utd,0.0,0.3675077150771613,
archie_gray,MID,Spurs,1.0,1.7158253220249893,
armando_broja,FWD,Burnley,1.5,2.0410448630774485,
