full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.3248316978449243,
aaron_hickey,DEF,Brentford,1.75,0.8668012964356541,
aaron_ramsdale,GK,Newcastle,1.5,3.089409791046107,
aaron_ramsey,MID,Burnley,0.0,0.3675077150771613,
aaron_wan_bissaka,DEF,West Ham,2.0,2.055944646592889,
abdallah_sima,MID,Brighton,0.0,0.3675077150771613,
abdoullah_ba,MID,Sunderland,0.0,0.3675077150771613,
abdukodir_khusanov,DEF,Man City,0.25,0.6505832599439865,
adam_aznou,DEF,Everton,0.0,0.3430272225037148,
adam_smith,DEF,Bournemouth,2.0,1.3131115743047768,
adam_webster,DEF,Brighton,0.0,0.2702451238685528,
adam_wharton,MID,Crystal Palace,4.75,3.046734304261561,
adama_traore_diarra,MID,Fulham,0.75,0.5127295179843014,
adrian_mazilu,MID,Brighton,0.0,0.3675077150771613,
adrien_truffert,DEF,Bournemouth,3.75,2.6185462774339374,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.45996810815199024,
airidas_golambeckis,DEF,West Ham,0.0,0.2702451238685528,
aji_alese,DEF,Sunderland,0.0,0.3248316978449243,
alan_browne,MID,Sunderland,0.0,0.3675077150771613,
albert_sambi_lokonga,MID,Arsenal,0.0,0.3675077150771613,
alejandro_garnacho_ferreyra,MID,Chelsea,2.0,3.150301706393651,
alex_cairns,GK,Leeds,0.0,0.24478895730462213,
alex_iwobi,MID,Fulham,2.75,2.400532353732525,
alex_jimenez_sanchez,DEF,Bournemouth,3.75,2.6116539870263926,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.4522003704564578,
alex_murphy,DEF,Newcastle,0.0,0.3248316978449243,
alex_paulsen,GK,Bournemouth,0.0,0.20280251069974262,
alex_scott,MID,Bournemouth,3.0,2.2492685596209476,
alexander_isak,FWD,Liverpool,2.5,1.8627650513697673,88376.0
alexis_mac_allister,MID,Liverpool,1.75,2.2680757107688736,
alfie_pond,DEF,Wolves,0.0,0.23385407455097185,
alisson_becker,GK,Liverpool,3.5,3.19625875927592,87737.0
alphonse_areola,GK,West Ham,2.25,2.7806579723800273,
altay_bayindir,GK,Man Utd,0.0,0.21959708934169442,
amad_diallo,MID,Man Utd,3.75,3.7352137166109225,
amadou_onana,MID,Aston Villa,4.75,2.7883438383898578,
amara_nallo,DEF,Liverpool,0.0,0.37941827182129584,
amine_adli,MID,Bournemouth,0.75,0.9153560374209053,
andre_harriman_annous,MID,Arsenal,0.0,0.3675077150771613,
andre_onana,GK,Man Utd,0.0,0.21959708934169442,
andre_trindade_da_costa_neto,MID,Wolves,2.5,2.659489272167534,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.3675077150771613,
andres_garcia,DEF,Aston Villa,0.0,0.4522003704564578,
andrew_moran,MID,Brighton,0.0,0.3675077150771613,
andrew_robertson,DEF,Liverpool,1.0,1.0502295216664783,
andrey_nascimento_dos_santos,MID,Chelsea,0.75,1.1498241116004957,
andy_irving,MID,West Ham,0.25,0.5146109982421507,
angus_gunn,GK,Nott'm Forest,0.0,0.2279943786626703,
anthony_elanga,MID,Newcastle,1.25,1.698598943565183,
anthony_gordon,MID,Newcastle,6.75,3.4863696394480086,94654.0
anthony_patterson,GK,Sunderland,0.0,0.21959708934169442,
antoine_semenyo,MID,Bournemouth,5.75,4.743683369490018,87737.0
anton_stach,MID,Leeds,7.0,4.445325305665262,
antonee_robinson,DEF,Fulham,3.25,1.7154413191755564,
antoni_milambo,MID,Brentford,0.0,0.3675077150771613,
antonin_kinsky,GK,Spurs,0.0,0.21119980002071853,
antonito_cordero_campillo,MID,Newcastle,0.0,0.3675077150771613,
antony_dos_santos,MID,Man Utd,0.0,0.3675077150771613,
archie_gray,MID,Spurs,1.25,1.820561686100907,
armando_broja,FWD,Burnley,3.0,2.466091942865273,
armin_pecsi,GK,Liverpool,0.0,0.24478895730462213,
arnaud_kalimuendo,FWD,Nott'm Forest,0.25,0.5040774438628156,
arthur_masuaku,DEF,Sunderland,0.0,0.3248316978449243,
asher_agbinone,MID,Crystal Palace,0.0,0.3675077150771613,
ashley_barnes,FWD,Burnley,0.0,0.44627559007138184,
ashley_phillips,DEF,Spurs,0.0,0.30663617318613384,
axel_tuanzebe,DEF,Burnley,0.25,0.6286388633317492,
ayden_heaven,DEF,Man Utd,1.75,1.8587799704769175,
bafode_diakite,DEF,Bournemouth,3.0,2.2488120685859734,87737.0
bart_verbruggen,GK,Brighton,4.0,3.0146706853977125,88376.0
bashir_humphreys,DEF,Burnley,0.0,0.25204959920976233,
bastien_meupiyou_menadjou,DEF,Wolves,0.0,0.23385407455097185,
ben_broggio,MID,Aston Villa,0.0,0.3675077150771613,
ben_davies,DEF,Spurs,0.25,0.4679047814979076,
ben_gannon_doak,MID,Bournemouth,0.0,0.3675077150771613,
ben_winterburn,MID,Bournemouth,0.0,0.3675077150771613,
bendito_mantato,MID,Man Utd,0.0,0.3675077150771613,
benjamin_arthur,DEF,Brentford,0.0,0.30663617318613384,
benjamin_fredrick,DEF,Brentford,0.0,0.30663617318613384,
benjamin_lecomte,GK,Fulham,0.0,0.2279943786626703,
benjamin_sesko,FWD,Man Utd,1.5,1.3359003424780425,93330.0
benjamin_white,DEF,Arsenal,4.0,2.3040022683705885,
benoit_badiashile_mukinayi,DEF,Chelsea,0.0,0.541063597963371,
bernardo_mota_veiga_de_carvalho_e_silva,MID,Man City,2.75,2.495232569642216,
bernd_leno,GK,Fulham,3.0,2.931504408832349,
bertrand_traore,MID,Sunderland,1.0,1.1855109298744515,
blondy_nna_noukeu,GK,Sunderland,0.0,0.21959708934169442,
borna_sosa,DEF,Crystal Palace,0.25,0.5231863426281742,
boubacar_kamara,MID,Aston Villa,3.75,2.6551058056178167,
boubacar_traore,MID,Wolves,0.0,0.3675077150771613,
bradley_burrowes,MID,Aston Villa,0.0,0.3675077150771613,
brajan_gruda,MID,Brighton,1.75,2.50173537407483,
brandon_austin,GK,Spurs,0.0,0.21119980002071853,
brayden_clarke,DEF,Arsenal,0.0,0.3976137964800863,
brenden_aaronson,MID,Leeds,2.75,1.7224526840469723,
brennan_johnson,MID,Spurs,1.0,1.263527477630722,
brian_brobbey,FWD,Sunderland,1.5,2.5190426354662288,
bruno_borges_fernandes,MID,Man Utd,9.0,5.157882466504628,87737.0
bruno_guimaraes_rodriguez_moura,MID,Newcastle,5.0,3.27858242255707,93330.0
bryan_gil_salvatierra,MID,Spurs,0.0,0.3675077150771613,
bryan_mbeumo,MID,Man Utd,3.0,3.6403944024030177,93330.0
bukayo_saka,MID,Arsenal,6.0,4.294974320066645,87737.0
caleb_kporha,DEF,Crystal Palace,0.0,0.3430272225037148,
callan_mckenna,GK,Bournemouth,0.0,0.20280251069974262,
callum_bates,MID,Everton,0.0,0.3675077150771613,
callum_hudson_odoi,MID,Nott'm Forest,5.75,3.0216257646797766,
callum_marshall,FWD,West Ham,0.0,0.45023057256326726,
callum_olusesi,MID,Spurs,0.0,0.3675077150771613,
callum_wilson,FWD,West Ham,2.0,1.7624726843326957,
calvin_bassey,DEF,Fulham,3.5,1.9562840021787582,
calvin_ramsay,DEF,Liverpool,0.0,0.37941827182129584,
caoimhin_kelleher,GK,Brentford,5.0,2.982065253183714,85646.0
carl_rushworth,GK,Brighton,0.0,0.19440522137876673,
carlos_alcaraz_duran,MID,Everton,3.0,3.2729929087108065,
carlos_baleba,MID,Brighton,1.75,1.557053903160464,
carlos_henrique_casimiro,MID,Man Utd,4.0,2.71908064258809,
carlos_miguel_dos_santos_pereira,GK,Nott'm Forest,0.0,0.2279943786626703,
chadi_riad_dnanou,DEF,Crystal Palace,0.0,0.3430272225037148,
charalampos_kostoulas,FWD,Brighton,1.0,1.3547516686452696,
charlie_crew,MID,Leeds,0.0,0.3675077150771613,
charlie_gray,MID,Man City,0.0,0.3675077150771613,
charlie_tasker,DEF,Brighton,0.0,0.2702451238685528,
cheick_doucoure,MID,Crystal Palace,0.0,0.3675077150771613,
chemsdine_talbi,MID,Sunderland,3.5,2.137958871218124,
chido_obi,FWD,Man Utd,0.0,0.4631592259823901,
chris_mepham,DEF,Bournemouth,0.0,0.2884406485273433,
chris_richards,DEF,Crystal Palace,4.0,2.3320705610286394,88376.0
chris_rigg,MID,Sunderland,0.75,0.8712526903847237,
chris_wood,FWD,Nott'm Forest,0.0,0.4596682668700091,
christantus_uche,FWD,Crystal Palace,1.5,1.0754299127840765,
christian_norgaard,MID,Arsenal,0.0,0.3675077150771613,
christopher_nkunku,MID,Chelsea,0.0,0.3675077150771613,
claudio_echeverri,MID,Man City,0.0,0.3675077150771613,
coby_ebere,MID,Everton,0.0,0.3675077150771613,
cody_gakpo,MID,Liverpool,0.75,1.5435803592435957,
cole_palmer,MID,Chelsea,3.25,2.4525263937477657,94654.0
connor_roberts,DEF,Burnley,0.0,0.25204959920976233,
conor_bradley,DEF,Liverpool,1.5,1.242478024176865,
cristhian_mosquera,DEF,Arsenal,0.25,0.6727144235989617,
cristian_romero,DEF,Spurs,6.0,2.629889583062883,
crysencio_summerville,MID,West Ham,1.75,2.4454689045005225,
curtis_jones,MID,Liverpool,2.0,2.428656330397897,
daichi_kamada,MID,Crystal Palace,1.5,2.1177059926587796,
dan_burn,DEF,Newcastle,3.5,1.6591736462722095,
dan_ndoye,MID,Nott'm Forest,1.25,1.2441759736651754,
dan_neil,MID,Sunderland,0.0,0.3675077150771613,
dane_scarlett,FWD,Spurs,0.0,0.4581405375470381,
dango_ouattara,MID,Brentford,2.0,2.013803332566028,
daniel_adu_adjei,FWD,Bournemouth,0.0,0.4563129669420859,
daniel_ballard,DEF,Sunderland,5.5,2.685232237884983,
daniel_bentley,GK,Wolves,0.0,0.17761064273681493,
daniel_james,MID,Leeds,0.0,0.3675077150771613,
daniel_munoz_mejia,DEF,Crystal Palace,3.5,1.3525666079360976,87737.0
danny_welbeck,FWD,Brighton,1.0,1.485367321575526,85076.0
dario_luis_essugo,MID,Chelsea,0.0,0.3675077150771613,
darko_churlinov,MID,Burnley,0.0,0.3675077150771613,
darko_gyabi,MID,Leeds,0.0,0.3675077150771613,
darwin_nunez_ribeiro,FWD,Liverpool,0.0,0.48034270317537947,
david_brooks,MID,Bournemouth,1.0,1.7003115785755025,
david_moller_wolfe,DEF,Wolves,1.75,2.2460107284322666,
david_mota_veiga_teixeira_do_carmo,DEF,Nott'm Forest,0.0,0.3430272225037148,
