full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,-0.6608141638288177,0.7269767119713867,
aaron_hickey,DEF,Brentford,-0.2139715533236406,0.9631348252909213,
aaron_ramsdale,GK,Newcastle,-0.6608141638288177,0.598035326869897,
aaron_ramsey,MID,Burnley,-0.6608141638288177,0.6389449095916004,
aaron_wan_bissaka,DEF,West Ham,2.467084109707422,3.369516398459444,
abdallah_sima,MID,Brighton,-0.6608141638288177,0.841804968523359,
abdoullah_ba,MID,Sunderland,-0.6608141638288177,0.5975809381534221,
abdukodir_khusanov,DEF,Man City,1.5733988886970678,2.973499721810846,
adam_armstrong,FWD,Wolves,1.722346425532127,4.754122039559243,
adam_aznou,DEF,Everton,-0.6608141638288177,0.6910008636255249,
adam_smith,DEF,Bournemouth,0.5307661308516547,1.8437616101912795,
adam_webster,DEF,Brighton,-0.6608141638288177,0.6381346111366897,
adam_wharton,MID,Crystal Palace,-0.2139715533236406,2.132562567643218,
adama_traore_diarra,MID,West Ham,-0.5118666269937587,0.8843026811551112,
adrian_mazilu,MID,Brighton,-0.6608141638288177,0.6592309154847763,
adrien_truffert,DEF,Bournemouth,1.5733988886970678,2.9273311614002724,94654.0
ahmed_abdullahi,FWD,Sunderland,-0.6608141638288177,0.6600805177949243,
airidas_golambeckis,DEF,West Ham,-0.6608141638288177,0.6882493815135341,
aji_alese,DEF,Sunderland,-0.6608141638288177,0.6478480855252574,
alan_browne,MID,Sunderland,-0.6608141638288177,0.6592309154847763,
albert_sambi_lokonga,MID,Arsenal,-0.6608141638288177,0.6592309154847763,
alejandro_garnacho_ferreyra,MID,Chelsea,-0.2139715533236406,1.9245736406778917,
alex_cairns,GK,Leeds,-0.6608141638288177,0.6543164762891045,
alex_iwobi,MID,Fulham,0.5307661308516547,3.0859600999298404,
alex_jimenez_sanchez,DEF,Bournemouth,1.5733988886970678,3.094839580063061,
alex_moreno_lopera,DEF,Aston Villa,-0.6608141638288177,0.6192399226693157,
alex_murphy,DEF,Newcastle,-0.5118666269937587,0.5772704086893685,
alex_paulsen,GK,Bournemouth,-0.6608141638288177,0.6833841849246353,
alex_scott,MID,Bournemouth,2.9139267202125994,4.132733916522732,
alex_toth,MID,Bournemouth,-0.2636207322686603,0.9957862300766266,
alexander_isak,FWD,Liverpool,-0.6608141638288177,1.7947773296596015,
alexis_mac_allister,MID,Liverpool,0.08392352034647751,2.7800814126150097,
alfie_mcnally,GK,Fulham,-0.6608141638288177,0.6175975550732116,
alfie_pond,DEF,Wolves,-0.6608141638288177,0.5698923535284521,
alisson_becker,GK,Liverpool,0.23287105718153656,3.3127217675917535,87737.0
alphonse_areola,GK,West Ham,0.3818185940165956,2.6560631748620223,87737.0
altay_bayindir,GK,Man Utd,-0.6608141638288177,0.7247384891576963,
alysson_edward_franco_da_rocha_dos_santos,MID,Aston Villa,-0.6608141638288177,0.7606609449506556,
amad_diallo,MID,Man Utd,0.6797136676867137,3.845067416027825,85646.0
amadou_onana,MID,Aston Villa,0.6797136676867137,1.9073787981242345,
amara_nallo,DEF,Liverpool,-0.6608141638288177,0.627065983805171,
amine_adli,MID,Bournemouth,2.76497918337754,4.392516645969826,
andre_harriman_annous,MID,Arsenal,-0.6608141638288177,0.7283282732449046,
andre_onana,GK,Man Utd,-0.6608141638288177,0.7458369442734851,
andre_trindade_da_costa_neto,MID,Wolves,0.23287105718153656,2.2258605477475073,
andreas_hoelgebaum_pereira,MID,Fulham,-0.6608141638288177,0.8215189626301831,
andres_garcia,DEF,Aston Villa,-0.6608141638288177,0.6169708705283762,
andrew_moran,MID,Brighton,-0.6608141638288177,0.6592309154847763,
andrew_robertson,DEF,Liverpool,-0.36291909015869966,1.2578364095712622,
andrey_nascimento_dos_santos,MID,Chelsea,0.23287105718153656,1.830150446078917,
andy_irving,MID,West Ham,-0.6608141638288177,0.6186589036984246,
