team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Man City,32,Arsenal,2.35,2.5306693817763106,3.418899704877087,4.29080933412896,4.2,4.978204314132668,4.914726202645003,5.063622073301894,0.6911764705882354,0.6775989275318723,0.8246930484423904,0.7068647411726705,1.135135135135135,1.2896956864341675,1.1409546117543934,1.0730291743056097,0.7845786963434023,0.8738964139702738,0.9409373369021348,0.7584864895662592
Sunderland,32,Aston Villa,3.8,3.471301731784292,4.571046924128637,7.146029110382669,4.0,3.916340119732272,3.6607975443216363,4.4387328333071405,1.1176470588235294,0.9294577741109594,1.1026093035298274,1.1772315253780508,1.081081081081081,1.014600173136481,0.8498548380263912,0.9406092631200196,1.2082670906200317,0.9430280185360278,0.9370578510577334,1.107314877607505
Newcastle,32,Bournemouth,3.6,3.664187579540795,3.7071704780639765,3.2216150429241694,2.4,2.8544843699253675,3.642392636924891,21.035609121717847,1.0588235294117647,0.9811038897659973,0.8942285491115707,0.530726468165675,0.6486486486486486,0.7395068475665602,0.8455821353147065,4.457643552409468,0.6868044515103338,0.7255330446561425,0.7561436860171338,2.3657894189117705
Fulham,32,Brentford,3.1,4.543880995819963,4.3200859488947225,5.501909339042839,2.4,2.946322001044715,4.255859634085239,4.642696629213483,0.911764705882353,1.2166460430476784,1.0420735202161218,0.9063804560049294,0.6486486486486486,0.7632990805150365,0.9879986140175334,0.983831111105785,0.5914149443561209,0.9286648059705505,1.0295671936779003,0.8917252911158978
Spurs,32,Brighton,3.9,4.4183599787726555,3.3122536137758067,4.3905145817264595,1.6,1.665533942169748,3.2508190403312702,4.522295446198106,1.1470588235294117,1.1830371855863115,0.7989683131278921,0.7232901095701852,0.43243243243243246,0.43148730049667733,0.7546782512622632,0.9583169672525957,0.4960254372019078,0.5104655215958243,0.6029640093653179,0.6931411842470976
Nott'm Forest,32,Burnley,4.5,5.705837317976697,6.002999439463627,5.194624977722958,3.8,4.432610083212753,4.403213978481792,5.960481775618107,1.3235294117647058,1.5277654501903204,1.4480190514120974,0.855758658666344,1.027027027027027,1.1483494334965003,1.0222069527670676,1.2630821861443875,1.3593004769475356,1.7544085892415802,1.48017514209262,1.0808935174002745
Brighton,32,Chelsea,3.3,4.273330462951014,3.925126380309466,6.108104925661107,4.0,4.352692200184753,4.418007561132272,5.067876606591324,0.9705882352941176,1.1442048335260704,0.9468029832759991,1.006244666476058,1.081081081081081,1.1276452312367504,1.0256412857600943,1.073930749951763,1.0492845786963432,1.290257124083713,0.9710802291286887,1.0806370893035946
West Ham,32,Crystal Palace,2.3,2.859562852289035,4.424395281943432,6.032292194757199,4.7,4.798417961519975,4.359252925191515,4.934812925139269,0.676470588235294,0.7656617398836109,1.0672345922798092,0.9937553335239419,1.2702702702702702,1.2431187143347973,1.0120013859824668,1.0457333035050027,0.8593004769475356,0.9518084376994583,1.0800428865555998,1.0392030478017076
Liverpool,32,Everton,3.0,3.6892659517568482,4.030175139858273,6.739951381814528,3.6,5.073907779902558,4.820910425802779,6.367297247025727,0.8823529411764706,0.9878187448317013,0.9721424167855036,1.1103345821330592,0.9729729729729729,1.3144894351820493,1.1191752615261243,1.3492902133352112,0.8585055643879173,1.298477303956064,1.0879977435465547,1.498163585199778
Brentford,32,Fulham,4.0,4.191281741014662,4.584766111069903,7.183081688964802,3.5,3.8036272593891134,3.996855625818634,4.4,1.1764705882352942,1.1222358926641038,1.105918589872625,1.18333553963963,0.9459459459459459,0.9853998268635189,0.9278707848140231,0.9324014112028689,1.1128775834658189,1.1058510543312345,1.0261495499255302,1.1033437270864994
