team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
,30,Arsenal,3.15,2.8791172753461556,3.1782385478522936,4.077910754396163,,,,,0.8873239436619719,0.7670217253818521,0.7586686037244912,0.7078668377196199,,,,,,,,
West Ham,30,Aston Villa,5.0,4.514427953103943,4.506095084576121,7.817203416835885,4.3,4.295165012212707,4.889321720567418,4.279348896475512,1.4084507042253522,1.2026826233695305,1.0756375944075416,1.3569544297950202,1.323076923076923,1.1459246540284687,1.166286449208353,0.8989232804029273,1.8634886240520045,1.3781836690907803,1.2545015506165862,1.2197979273886235
Man Utd,30,Bournemouth,3.6,3.7374230928994985,3.817274553161005,3.9327007081356484,3.4,3.830403797387929,5.332560865799911,17.67486683816724,1.0140845070422535,0.9956818132228014,0.911211135248707,0.6826604557161053,1.0461538461538462,1.0219291072241867,1.2720155949646597,3.712795956397927,1.0608884073672806,1.0175162264661368,1.159074774341807,2.534578979575522
Leeds,30,Brentford,3.8,4.331907619885197,4.106256256678448,5.8894931197994875,2.7,3.282108261745851,4.601174763514311,5.068297628144127,1.0704225352112675,1.154057629139005,0.980193164825328,1.0223315618149775,0.8307692307692308,0.8756470970570562,1.09755260214364,1.0646504503762342,0.8892741061755146,1.0105472127921185,1.0758135586574484,1.0884257577201548
Liverpool,30,Brighton,3.8,4.480708870642235,3.762573634420363,3.6528925764025906,3.7,4.958660076695517,4.564321711076124,5.392235036377793,1.0704225352112675,1.1936995683791904,0.898153629017322,0.63408977594716,1.1384615384615384,1.3229412180149995,1.0887617681328983,1.1326969884592726,1.2186348862405199,1.5791943609355454,0.9778753331838786,0.718231579628163
Fulham,30,Burnley,3.6,5.113399589984228,5.528186341143612,5.632195811223408,2.5,2.874397307862646,4.31302698627386,4.333707865168539,1.0140845070422535,1.362253844142214,1.319618193983073,0.9776684381850225,0.7692307692307693,0.7668722228802103,1.0288185594335104,0.9103419666654802,0.7800650054171181,1.0446746335844512,1.3576476893359157,0.8900126087641218
Everton,30,Chelsea,2.3,2.852915979278029,3.586770595006043,4.908104925661107,3.2,3.8193611182056677,3.995034461181626,6.031371676493492,0.647887323943662,0.7600414736604286,0.85618816782401,0.8519766424947849,0.9846153846153847,1.0189829856466688,0.952965425980558,1.2669545166621492,0.6379198266522211,0.7744693300457975,0.8159177220699212,1.079415655299421
,30,Crystal Palace,2.5,3.420257675177318,4.4321574058228705,5.232292194757199,,,,,0.7042253521126761,0.9111862047889718,1.0579881339728412,0.9082509042001494,,,,,,,,
Chelsea,30,Everton,2.9,3.710281491012507,3.996620175319266,6.001605225839546,3.1,3.297303157964458,4.255220763893788,9.422809269417773,0.8169014084507042,0.9884510559044893,0.9540222366491522,1.0417926159557795,0.9538461538461539,0.8797010056130248,1.0150296092079198,1.9793624740558953,0.7791982665222102,0.8695413878784355,0.9683608180416546,2.062085209771395
Burnley,30,Fulham,3.7,4.150887433277873,4.479483368710055,7.604775079373278,2.6,2.578427350662655,3.9499358106146376,4.057368766454216,1.0422535211267607,1.1058322869310184,1.069285184726882,1.3200799162173051,0.8,0.687909186572439,0.9422077078266057,0.852293965642601,0.8338028169014087,0.7607121889882569,1.007488742914464,1.1250961467579994
Brentford,30,Leeds,4.1,4.619916593423828,4.392618219121321,6.368995150885918,3.8,3.811995340911878,4.12920610462753,4.2333333333333325,1.1549295774647887,1.230785708853124,1.0485498431977394,1.1055662392927454,1.169230769230769,1.0170178397738008,0.9849703907920803,0.889257216249237,1.350379198266522,1.2517310228422702,1.0327905488194518,0.9831327563326047
Brighton,30,Liverpool,2.7,3.3067117170198026,4.169250965405732,5.2449823379144345,3.3,3.9099736593667047,4.029943337495437,5.109980244474627,0.7605633802816902,0.8809365801967809,0.9952304589090132,0.9104537311004777,1.0153846153846153,1.0431578763866893,0.9612925011310072,1.0734063324307332,0.772264355362947,0.9189559322294264,0.9567075770464053,0.9772868003484407
,30,Man City,2.2,2.5129277487680297,3.9250728442384806,4.108707379177293,,,,,0.619718309859155,0.6694656706501295,0.9369433695490241,0.713212690218416,,,,,,,,
Bournemouth,30,Man Utd,2.2,1.9579990144471495,3.4404035957781702,15.06655271684861,4.4,5.224395224163887,5.132404878562069,4.223224318226082,0.619718309859155,0.5216278597670719,0.8212493030208653,2.61533752682403,1.353846153846154,1.3938377856812143,1.2242708915098983,0.8871337088555453,0.839003250270856,0.7270646210073665,1.0054316163612373,2.320154080080491
