team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Brighton,28,Arsenal,2.95,2.613637094519476,3.1491432726858934,5.058292420171086,3.2,3.812076273351395,4.196537585817301,5.391521175453761,0.9365079365079365,0.7177764773340732,0.7203170719665599,0.9994309216263787,0.9142857142857144,1.0104802999260625,0.9635126948715597,1.046960240286309,0.8562358276643992,0.7252989900964069,0.6940346431724913,1.0463644378555206
Chelsea,28,Aston Villa,4.902247191011236,4.9401905841310425,4.553825451584804,3.704843866274088,2.9,3.138734120118038,4.52051651274786,7.641522603413994,1.5562689495273765,1.356711917760897,1.0416160623694628,0.7320129427446013,0.8285714285714285,0.8319951563552259,1.0378973042274806,1.4838799813023547,1.2894799867512547,1.128777744146476,1.0810905031733087,1.0862193517929406
Brentford,28,Bournemouth,2.7,2.937382968204292,4.539019094542141,3.982801755542055,3.9,3.950088665635037,4.452159080557772,5.333333333333333,0.8571428571428571,0.8066859794421507,1.0382293407032979,0.7869326046322015,1.1142857142857143,1.0470637241673835,1.0222026387188088,1.0356609510531514,0.9551020408163265,0.8446516258683117,1.0612807716622001,0.8149953697281194
Bournemouth,28,Brentford,3.8,4.182569871540826,4.200203141299797,5.845437975617921,3.4,3.870848707601259,5.228033948623056,5.036395769194763,1.206349206349206,1.1486484772095549,0.9607305118974143,1.1549572420892296,0.9714285714285714,1.0260593132326288,1.2003412279069965,0.9779997060383093,1.1718820861678,1.1785814676713406,1.1532044423386596,1.129547843250083
Arsenal,28,Brighton,3.1,3.495701212315582,3.9219559369105426,4.1435152003782605,3.65,5.085387715721822,5.576886385523419,5.262985177648756,0.9841269841269841,0.9600154922998743,0.8970858332678499,0.8186867961553888,1.042857142857143,1.3480013871037306,1.280436722041578,1.0220002939616906,1.0263038548752834,1.2941022152613013,1.1486616437394233,0.8366981463333619
Everton,28,Burnley,3.3,4.371543557144468,5.606521495548462,6.381803859302844,3.5,3.6546278387855344,4.143649787728108,6.865828605332443,1.0476190476190474,1.2005458376525344,1.282403751718367,1.260933845443062,1.0,0.9687448964413027,0.9513698118827455,1.3332507343437245,1.0476190476190474,1.1630226531697414,1.2200402160300299,1.681140975395819
Aston Villa,28,Chelsea,1.8,2.730562738979471,3.6962284924180375,4.936501248439451,3.9,3.7332311147975714,3.6501995523463897,4.3070530798332936,0.5714285714285714,0.7498874683230274,0.8454542249858111,0.9753670967426469,1.1142857142857143,0.9895805398608888,0.8380750882314024,0.8363712541681039,0.636734693877551,0.7420740457380166,0.7085541242005956,0.8157690019769499
Spurs,28,Crystal Palace,2.6,4.124260224444834,4.739963717084525,5.050675703920364,1.7,2.76299741829301,3.5919196224256695,3.681342918221214,0.8253968253968254,1.1326350478107616,1.0841922676341211,0.9979259904935185,0.4857142857142857,0.7323973235921389,0.8246941876230971,0.7148668327195813,0.400907029478458,0.8295388776232562,0.894127061383765,0.7133841921126526
Burnley,28,Everton,2.3,3.2067612682185413,4.069959496012342,6.816513137341921,2.1,2.0160610206004925,4.006666995242529,4.555133440148966,0.73015873015873,0.8806646537041251,0.9309393232813135,1.3468248652381254,0.6,0.5344042979954935,0.9199189653599191,0.8845450932747547,0.438095238095238,0.47063097603219733,0.8563887390858091,1.1913273260468167
West Ham,28,Fulham,2.6,3.525220616623627,4.31464409318791,8.83646943028092,3.5,3.4632163431986287,4.808546809099438,4.626450288797503,0.8253968253968254,0.9681223308818864,0.9869070825514399,1.7459332227238606,1.0,0.918006786392967,1.1040282136658417,0.8983938573930281,0.8253968253968254,0.8887428698081491,1.0895732634034336,1.5685356827135302
