team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Sunderland,10,Arsenal,2.3,2.774188663431229,3.1551224079281774,3.83297818310569,5.4,4.821425243827231,4.005219196096785,6.254421666010687,0.6974500344589937,0.7750577263431356,0.7510750715618582,0.6805317899614176,1.6615384615384616,1.3241968292513127,0.9540370542225642,1.240062421005828,1.1588400572549433,1.0263289837103118,0.7165534487728767,0.8439018990309851
Bournemouth,10,Aston Villa,4.2,5.058308671682653,4.160500335161499,17.57852397139251,3.9,4.466770289039898,5.20618751897833,5.714431795379523,1.2736044107512061,1.4131992066347474,0.9904047079480828,3.1210050805555483,1.2,1.22679140598795,1.2401058621652383,1.1329987815437617,1.5283252929014473,1.733700641648497,1.2282066842424681,3.5360949534613257
Aston Villa,10,Bournemouth,2.4,2.993577198348212,3.712393536236637,6.521418628857788,3.3,4.045840849778896,3.887594786622279,2.857592244561027,0.7277739490006891,0.8363508825368451,0.883733142615424,1.1578549317461508,1.0153846153846153,1.1111838002241623,0.9260191007409952,0.5665740089599789,0.7389704712930074,0.9293395519781235,0.8183537700197486,0.6560105104734995
Newcastle,10,Brentford,3.3,3.5918817723558485,4.173439548822744,7.095885869126858,4.9,4.69387280902246,3.8537668318079676,16.898632612904667,1.0006891798759476,1.0035062706702205,0.9934848803059454,1.2598495689756648,1.5076923076923079,1.2891647544622227,0.9179613339169296,3.350487125536699,1.5087313788898904,1.2936849150298755,0.9119807059519468,4.221109760965924
Crystal Palace,10,Brighton,3.3,2.573485585841989,4.603611342221511,5.6336997929156665,3.6,5.168883440616545,3.95516313765443,5.336366837418462,1.0006891798759476,0.7189849462049644,1.0958870279053567,1.0002435758900459,1.1076923076923078,1.4196256742955968,0.9421137780660741,1.0580399488807097,1.1084557069395113,1.020689489064606,1.0324502681935168,1.0582976619029625
West Ham,10,Burnley,3.2,3.883165502633118,4.663159440398447,6.804224720302574,2.2,2.484466116369432,3.5226345924682834,3.8000416577474176,0.9703652653342523,1.0848856334674921,1.1100624183711054,1.2080661582204357,0.676923076923077,0.6823546954068701,0.839086143643793,0.7534331884973376,0.65686264114934,0.7402768059759999,0.9314379938349135,0.9101971375037521
Wolves,10,Chelsea,2.6,2.8956116674326062,3.8045889214600237,6.924674598614897,1.8,2.3558582668945696,3.351219343544288,3.412980930223532,0.78842177808408,0.8089810995612577,0.9056802009546909,1.2294516103082698,0.5538461538461539,0.6470327526453439,0.7982552949123058,0.6766907671383863,0.43666436940041353,0.5234372676871776,0.7229640159093232,0.8319585533390274
Brighton,10,Crystal Palace,3.5,3.7508407026627473,4.018312500917847,3.909346918130732,2.0,2.8333978747061987,4.3693589923088325,8.957778325527505,1.0613370089593384,1.0479164972455177,0.9565569759198653,0.6940907901594232,0.6153846153846154,0.7781882518031225,1.0407745937914101,1.7760561839880573,0.6531304670519006,0.815476307027141,0.9955601980513376,1.2327442401118007
Fulham,10,Everton,3.5,5.106656233991595,4.228177086827566,5.640459225619543,3.2,3.3462710314882345,4.004198046830619,9.915270746731421,1.0613370089593384,1.4267066339454246,1.0065151196940547,1.001443689383352,0.9846153846153847,0.9190480543870946,0.9537938180374476,1.9658979364854068,1.045008747283041,1.3112119561087032,0.9600078989254109,1.9687360824650644
Everton,10,Fulham,3.1,3.4239553762083856,5.014411574098861,4.204290171805491,3.5,3.441748339967956,4.129358796310429,3.013076739182405,0.9400413507925569,0.9565906976572189,1.1936777864444252,0.7464569270826694,1.0769230769230769,0.945270746383857,0.9836069161206619,0.5974018758876073,1.0123522239304459,0.9042372027582938,1.1741097263663391,0.4459347685084856
