team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Spurs,11,Arsenal,2.3,2.8137656403799474,3.246130190124269,4.255586878757864,3.8,4.233500302277575,4.870735224104574,4.618940700351624,0.6865671641791045,0.7824818377576122,0.7465751475100687,0.8182804164975146,1.1176470588235294,1.0896891645627949,1.1231214341674434,0.8968152221667198,0.7673397717295873,0.8526619800716527,0.838494550385279,0.7338463335158946
Leeds,11,Aston Villa,3.4,4.384182797556779,4.055503316149421,8.840659893722608,2.1,2.6900022763474314,3.982110529346935,4.352627409471907,1.0149253731343284,1.2192001221659332,0.9327222905886958,1.6999156793292245,0.6176470588235294,0.6923978088788753,0.9182173702647947,0.8451077358359119,0.6268656716417911,0.8441714931725491,0.856441808851708,1.436611890869887
West Ham,11,Bournemouth,3.7,3.5204346634546546,3.963510079887617,5.222122854209901,2.3,2.7397318590301327,3.9137496686769815,4.080161004481086,1.1044776119402986,0.9789998660988803,0.9115648323508745,1.0041296267440634,0.676470588235294,0.7051980412016214,0.9024543397685776,0.7922055586102531,0.7471466198419666,0.6903887879095801,0.8226456389354625,0.7954770718718857
Brighton,11,Brentford,3.4033707865168537,3.518994448412186,4.169551299974818,6.180155532048206,2.4,3.206451554052093,4.146777619686115,8.87536074310992,1.0159315780647324,0.9785993558015675,0.9589521043548564,1.1883437906124734,0.7058823529411765,0.8253301678675561,0.9561872311077065,1.7232433003601828,0.7171281727515759,0.80766757059879,0.9169377574279787,2.0478054756975688
Brentford,11,Brighton,3.9,3.192928482777922,4.628413561860818,4.923587433365105,3.1,3.4651284499933745,4.7211661837463765,5.591274021371225,1.164179104477612,0.887923468528576,1.0644855059099032,0.9467261015740066,0.911764705882353,0.891912756860949,1.088632966331455,1.0856038167559328,1.061457418788411,0.7919502686968583,1.1588340139155373,1.0277694692912065
Chelsea,11,Burnley,2.5,3.6200638983550433,4.6483315039219715,5.910474720302573,2.995454545454545,4.965237793042973,5.4749500629018,5.294129882592914,0.746268656716418,1.006705822025158,1.0690664190777244,1.1364885393290087,0.8810160427807486,1.278036007141842,1.262444679031353,1.0279102016779726,0.6574746587916035,1.2866062891474785,1.3496372122957756,1.168208163666386
Burnley,11,Chelsea,2.2,2.355611667432606,3.6641638115463016,7.070129144069442,3.3,3.2534861609181362,4.5981956012185226,5.362759462941459,0.6567164179104479,0.6550735143411038,0.8427183994125361,1.3594712986776123,0.9705882352941176,0.8374367222083754,1.0602777200175928,1.0412353461949404,0.6374012291483758,0.5485826166553351,0.8935155431459989,1.4155295683206688
Wolves,11,Crystal Palace,3.3,3.5824418937106772,3.9837365191307095,3.9521299777677243,2.0,2.435590409751712,3.2179377449411257,3.4362132534558554,0.9850746268656717,0.9962434953438662,0.9162166965636703,0.7599305704232323,0.5882352941176471,0.6269130245229124,0.742010125550243,0.6671764268538118,0.5794556628621599,0.6245580228273012,0.679842066048438,0.5070077626319511
Man Utd,11,Everton,3.1,4.623322900658262,3.990157195326662,5.179169399545971,2.5,3.7241207799975187,5.1431933376737025,4.030224647587995,0.9253731343283583,1.2857027422388423,0.9176933832636341,0.9958703732559365,0.7352941176470589,0.9585765375529111,1.1859463534420425,0.7825098972223802,0.6804214223002635,1.2324444829775922,1.0883351214593977,0.7792784234233163
Sunderland,11,Fulham,3.6,4.1350673326887755,5.074810014069347,4.079089529750917,4.8,4.291927510961899,3.872034838554886,5.7224236200898275,1.074626865671642,1.1499234475323503,1.1671519048637897,0.7843428355314159,1.411764705882353,1.1047281374393776,0.8928355003783925,1.1110678709930755,1.5171202809482005,1.2703527883902812,1.0420746549966557,0.8714581244025622
