avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
3.2,14.1,16.7,3.9,2.4,13.6,18.5,4.9,1.0158730158730158,0.8623853211009174,0.8586118251928019,0.7090909090909091,0.7058823529411765,0.8888888888888888,0.9113300492610837,0.9514563106796117,0.7170868347338936,0.766564729867482,0.7824787569491052,0.6746690203000882
4.3,18.2,17.7,4.4,2.9,18.8,20.3,7.1,1.365079365079365,1.1131498470948011,0.9100257069408738,0.8,0.8529411764705882,1.2287581699346406,1.0,1.378640776699029,1.1643323996265171,1.3677919689792328,0.9100257069408738,1.1029126213592233
2.1,10.2,24.6,4.1,3.0,12.6,17.1,9.0,0.6666666666666666,0.6238532110091742,1.2647814910025705,0.7454545454545454,0.8823529411764706,0.8235294117647058,0.8423645320197045,1.7475728155339805,0.588235294117647,0.5137614678899082,1.0654070687755643,1.3027360988526036
3.2,15.6,17.3,5.5,3.4,14.8,20.0,3.3,1.0158730158730158,0.9541284403669724,0.8894601542416452,1.0,1.0,0.9673202614379085,0.9852216748768473,0.6407766990291262,1.0158730158730158,0.9229477723811237,0.8763154228981725,0.6407766990291262
3.6,17.1,19.9,4.5,5.3,22.5,21.2,5.1,1.1428571428571428,1.0458715596330275,1.023136246786632,0.8181818181818182,1.5588235294117647,1.4705882352941175,1.044334975369458,0.9902912621359222,1.7815126050420167,1.5380464112250403,1.068496967087517,0.8102383053839364
3.8,20.5,24.1,6.6,3.2,12.5,20.7,8.7,1.206349206349206,1.2538226299694188,1.2390745501285345,1.2,0.9411764705882354,0.8169934640522876,1.019704433497537,1.6893203883495143,1.1353874883286645,1.0243648937658651,1.2634898122000326,2.027184466019417
1.6,9.3,17.7,7.8,3.2,11.5,18.2,4.3,0.5079365079365079,0.5688073394495413,0.9100257069408738,1.4181818181818182,0.9411764705882354,0.7516339869281046,0.8965517241379309,0.8349514563106796,0.4780578898225957,0.42753492834442647,0.8158851165676799,1.1841129744042365
3.0,18.8,24.6,5.9,3.8,18.7,10.8,8.4,0.9523809523809523,1.1498470948012232,1.2647814910025705,1.0727272727272728,1.1176470588235294,1.222222222222222,0.5320197044334976,1.6310679611650485,1.0644257703081232,1.405368671423717,0.6728886750161459,1.7496910856134158
3.1,16.3,18.9,6.0,3.4,20.5,23.5,5.3,0.9841269841269841,0.9969418960244648,0.9717223650385602,1.0909090909090908,1.0,1.3398692810457515,1.1576354679802956,1.029126213592233,0.9841269841269841,1.335771821470688,1.1249002747983332,1.1226831421006178
2.8,15.9,20.7,5.0,3.4,19.0,13.9,5.3,0.8888888888888887,0.9724770642201834,1.0642673521850898,0.9090909090909091,1.0,1.2418300653594772,0.6847290640394088,1.029126213592233,0.8888888888888887,1.2076512562211428,0.7287347879493964,0.9355692850838482
2.7,13.7,22.0,6.9,4.0,15.6,20.0,4.9,0.8571428571428571,0.837920489296636,1.1311053984575834,1.2545454545454546,1.1764705882352942,1.0196078431372548,0.9852216748768473,0.9514563106796117,1.0084033613445378,0.8543503028122562,1.114389555130624,1.1936451897616946
3.1,15.8,17.1,5.5,3.5,14.2,19.4,4.6,0.9841269841269841,0.966360856269113,0.8791773778920308,1.0,1.0294117647058825,0.9281045751633986,0.9556650246305418,0.8932038834951455,1.0130718954248366,0.8968839319621833,0.8401990704978027,0.8932038834951455
2.6,12.9,18.9,3.7,2.8,13.2,23.6,4.7,0.8253968253968254,0.7889908256880733,0.9717223650385602,0.6727272727272727,0.8235294117647058,0.8627450980392156,1.16256157635468,0.9126213592233009,0.6797385620915032,0.6806979672602985,1.1296870844783262,0.6139452780229478
2.5,9.4,17.8,3.9,4.0,16.2,20.3,6.0,0.7936507936507936,0.5749235474006116,0.9151670951156812,0.7090909090909091,1.1764705882352942,1.0588235294117647,1.0,1.1650485436893203,0.9337068160597572,0.6087425796006476,0.9151670951156812,0.8261253309796999
4.0,18.5,22.0,6.2,4.1,19.6,22.6,5.2,1.2698412698412698,1.131498470948012,1.1311053984575834,1.1272727272727272,1.2058823529411764,1.281045751633987,1.1133004926108374,1.0097087378640777,1.5312791783380018,1.449501309188303,1.2592601972976052,1.1382171226831421
4.8,19.6,21.8,4.5,3.6,17.8,23.6,4.2,1.5238095238095235,1.198776758409786,1.1208226221079691,0.8181818181818182,1.0588235294117647,1.1633986928104576,1.16256157635468,0.8155339805825242,1.61344537815126,1.3946553137055027,1.3030253143718262,0.6672550750220654
3.4,16.4,19.6,7.4,4.1,21.3,30.0,6.0,1.0793650793650793,1.003058103975535,1.0077120822622108,1.3454545454545455,1.2058823529411764,1.392156862745098,1.477832512315271,1.1650485436893203,1.3015873015873014,1.3964142231816272,1.4892296782200158,1.5675198587819945
5.4,20.4,19.3,7.4,2.7,12.7,21.4,4.6,1.7142857142857142,1.2477064220183485,0.9922879177377891,1.3454545454545455,0.7941176470588236,0.8300653594771241,1.0541871921182264,0.8932038834951455,1.361344537815126,1.0356778797145767,1.0460572137728417,1.2017652250661957
