team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Sunderland,24,Arsenal,3.1,2.8368910896838226,3.7499000638976754,6.662238755968368,4.1,4.314440481994464,3.8655005320611258,3.739468121877258,0.9841269841269841,0.7341416446618175,0.8807185363314985,1.2012162966687168,1.2615384615384615,1.1891520498283288,0.8772434202363507,0.7440540371409319,1.2415140415140413,0.8730060416139409,0.7726045410769965,0.8937698350158381
Bournemouth,24,Aston Villa,4.1022471910112355,4.0914590207928425,4.0849468084942275,4.654136874361593,2.5,3.4723341913762233,5.429052629218435,5.54915165360158,1.3023006955591223,1.0588035844992754,0.9594091343409288,0.8391511119894325,0.7692307692307693,0.9570495499002056,1.2320786551694674,1.1041326081680278,1.0017697658147096,1.013327493977756,1.1820675159960743,0.9265341059279929
Aston Villa,24,Bournemouth,2.5,3.0422306924470752,5.268730971819938,5.673194610899161,3.1,3.2654090804194693,4.415431597431345,7.536431976066122,0.7936507936507936,0.7872802209839772,1.2374380518830568,1.022889462596973,0.9538461538461539,0.9000165647699001,1.002045733592225,1.499548185642767,0.757020757020757,0.708565240001287,1.2399695204740915,1.533872037750396
Newcastle,24,Brentford,3.6,3.9761548002043896,3.8025907910830616,5.910854494668747,2.8,3.730712370361515,4.143723148981013,4.922191011235955,1.1428571428571428,1.028964712486501,0.8930937194921722,1.0657400622085034,0.8615384615384615,1.0282641007680473,0.9403837452808204,0.9793842263456336,0.9846153846153844,1.0580474748069841,0.8398508168228273,1.0437690063116225
Crystal Palace,24,Brighton,3.0,3.7523022633930223,4.269271174653017,6.035760688972064,2.4,2.7933760398980145,3.194386135515191,3.953552178099289,0.9523809523809523,0.9710352875134989,1.002700390963076,1.088260923685826,0.7384615384615384,0.7699141656140073,0.7249395507341279,0.7866510325231368,0.7032967032967032,0.7476138231677132,0.7268971709457067,0.8560815792720377
West Ham,24,Burnley,3.2,4.585694279364988,5.661357484835979,4.441421581752504,2.2,2.4287463498199484,4.397402885886104,5.118270273970158,1.0158730158730158,1.1867036956094459,1.329652095451196,0.8007980770124455,0.676923076923077,0.6694144263791859,0.997954266407775,1.0183987498773281,0.6876678876678877,0.7943965736784573,1.326931981493559,0.8155317605336428
Wolves,24,Chelsea,2.2,2.6469483543284418,4.052814893942557,7.303089887640451,2.3,3.207326483397909,3.640402427656327,4.2450326964571365,0.6984126984126984,0.6849875292174685,0.9518624871580005,1.3167631648162248,0.7076923076923076,0.8840077590868021,0.826159264547076,0.8446478516866099,0.49426129426129417,0.6055342907059397,0.7863900123404043,1.1122011783420858
Brighton,24,Crystal Palace,3.5,5.223284495251817,5.385902605446414,6.920287069652636,3.3,3.480279709650973,4.05768971709808,5.866834599463223,1.111111111111111,1.3517017568369598,1.264957513177665,1.247742975024057,1.0153846153846153,0.9592395046307897,0.9208591684728041,1.16734300887082,1.128205128205128,1.2966057236368533,1.1648477237382107,1.4565440387620112
Fulham,24,Everton,3.7,4.2374399124218725,4.012474685863859,4.706878563126141,3.2,3.525618697843457,4.900474285032571,4.546499567847883,1.1746031746031744,1.0965810840513217,0.9423880029293594,0.848660554442399,0.9846153846153847,0.9717358992319527,1.1121221655323468,0.904631687732771,1.1565323565323564,1.0655872057913607,1.0480505865895027,0.7677252296774566
Everton,24,Fulham,2.3,3.1936405567656245,4.246275868372384,8.416146198128729,4.5,4.526277672053668,4.3137482129401175,6.092883895131086,0.73015873015873,0.8264626510790398,0.9972996090369242,1.5174496649916656,1.3846153846153846,1.2475389089911941,0.9789695292941157,1.2123207665499263,1.0109890109890107,1.0310443140491152,0.9763259288240833,1.8396357410636248
Nott'm Forest,24,Leeds,2.9,3.6545683969305927,5.254615513150034,5.703819062298815,3.502247191011236,3.3683322440440726,4.471594810596382,4.219395946411405,0.9206349206349205,0.9457433396749644,1.2341228312404875,1.0284111185215448,1.0776145203111496,0.9283843894066732,1.014791510963025,0.8395468248162101,0.9920895583816931,0.8780133529395697,1.2523773726285006,0.8633992891604501
Man City,24,Liverpool,2.9,2.817466799593717,4.619424313112237,5.419293518748227,4.4,5.144171828046707,5.1319576494012935,5.621965748324646,0.9206349206349205,0.7291149517707881,1.0849389451487428,0.9771105374030267,1.353846153846154,1.4178437504283392,1.1646554032340004,1.1186206635207396,1.2463980463980462,1.0337710777120719,1.26358000464648,1.0930160376828801
Liverpool,24,Man City,2.6,2.8010353155555308,3.726455688181052,3.834646770852833,3.6,4.507392602953375,4.480128657536512,8.448638121002672,0.8253968253968254,0.724862748801173,0.8752122839208973,0.6913952444274069,1.1076923076923078,1.242333780139496,1.0167281970442819,1.6810527854210038,0.9142857142857143,0.9005214788004672,0.8898530074619021,1.162271901471528
Spurs,24,Man Utd,2.2,2.154250659972017,4.0960004687415115,4.03833800226249,2.7,3.8855000487946376,4.106872439402788,3.824355505057942,0.6984126984126984,0.5574853149198359,0.9620052471194583,0.7281212213279803,0.8307692307692308,1.0709268946726296,0.9320207810953514,0.7609443536510268,0.5802197802197803,0.5970260171326928,0.896608881838104,0.5540597321430162
Brentford,24,Newcastle,4.9,4.670323912928537,4.157355015518798,5.8540558614323555,5.5,4.929290667755054,4.765062554643762,4.933333333333333,1.5555555555555556,1.208604479392582,0.9764152542434371,1.0554991437468315,1.6923076923076923,1.3586179079820935,1.0813915916982095,0.9816012501226719,2.6324786324786325,1.642031689370137,1.0558872459447224,1.0360792790052995
Leeds,24,Nott'm Forest,4.1,4.527448581948455,4.745520492516312,4.03264207195813,2.9,3.441650660126178,5.159970285007011,6.6634989740365835,1.3015873015873014,1.1716306488325203,1.1145544657411288,0.7270942325698609,0.8923076923076922,0.9485925126008764,1.1710126395258529,1.3258578898186728,1.161416361416361,1.1114000610162356,1.305157366822846,0.9640236248944032
Man Utd,24,Spurs,3.4,3.370329416595191,4.792082144991793,5.211777626399153,2.9,3.7517938384457947,5.764593947418609,10.26995210718976,1.0793650793650793,0.8721868773704187,1.1254901466175835,0.9396949657253906,0.8923076923076922,1.0340746041439621,1.3082269860692133,2.043445505496778,0.963125763125763,0.9019062999563742,1.4723965823601182,1.9202154542494982
Arsenal,24,Sunderland,4.8,4.735973266788103,3.961521869956927,4.637134995019361,3.5,4.401350841297822,5.209194461236469,3.8770982580499207,1.5238095238095235,1.2255934730091185,0.930420993493679,0.8360856357602011,1.0769230769230769,1.2131064032023562,1.1821836597742506,0.7714387493818047,1.6410256410256405,1.4867752898303757,1.0999284952191517,0.6449888572269407
Burnley,24,West Ham,3.1,4.189330913201994,4.350319108927677,6.264727541081157,3.4,2.7375403175611104,3.7312731109925865,4.392096990956776,0.9841269841269841,1.0841312512259622,1.0217356763922234,1.129544150574683,1.0461538461538462,0.7545246466375208,0.846781615621132,0.8739097088479454,1.0295482295482294,0.8180037492399624,0.865186986793157,0.987119599759621
